flag_labelx,FMN1,FMD1,MFMD1,MFMN1,MMAV11,MMAV21,MAV1,SSI1,WAMP1,WL1,ZC1,IEMG1,VAR1,SSC1,RMS1,FR1,FMN2,FMD2,MFMD2,MFMN2,MMAV12,MMAV22,MAV2,SSI2,WAMP2,WL2,ZC2,IEMG2,VAR2,SSC2,RMS2,FR2
0,2966.069,17217.836,658.75,2644.661,0.936,0.648,1.263,103.975,0,1.939,0,80.895,0.026,0,0.159,0,2966.069,17217.836,658.75,2644.661,0.889,0.614,1.201,92.61,0,0.635,0,76.893,0.003,0,0.15,0
0,2965.148,12756.143,570.39,2636.772,0.803,0.553,1.088,77.149,0,1.649,0,69.652,0.021,0,0.137,0,2965.148,12756.143,570.39,2636.772,0.605,0.42,0.816,42.881,0,0.588,0,52.239,0.003,0,0.102,0
0,2967.862,12816.92,569.547,2645.632,0.809,0.563,1.09,77.508,0,1.706,0,69.787,0.022,0,0.137,0,2967.862,12816.92,569.547,2645.632,0.702,0.496,0.936,57.413,0,1.245,0,59.909,0.02,0,0.118,0
0,2966.213,17409.188,649.94,2648.805,0.957,0.689,1.267,104.706,0,1.788,0,81.105,0.03,0,0.159,0,2966.213,17409.188,649.94,2648.805,0.939,0.655,1.261,101.976,0,0.839,0,80.745,0.001,0,0.157,0
0,2968.38,12971.931,563.935,2651.207,0.819,0.578,1.095,78.24,0,1.533,0,70.103,0.022,0,0.138,0,2968.38,12971.931,563.935,2651.207,0.738,0.501,1.007,65.169,0,0.604,0,64.473,0.003,0,0.126,0
0,2963.222,83252.096,1449.804,2629.147,2.092,1.522,2.755,500.546,0,3.12,0,176.351,0.228,0,0.349,0,2963.222,83252.096,1449.804,2629.147,0.7,0.472,0.957,62.866,0,2.699,0,61.31,0.064,0,0.123,0
0,2965.955,91051.008,1509.684,2645.498,2.167,1.522,2.905,548.847,0,3.074,0,185.95,0.134,0,0.366,0,2965.955,91051.008,1509.684,2645.498,0.669,0.448,0.917,58.178,0,2.524,0,58.737,0.066,0,0.119,0
0,2970.161,48663.812,1090.68,2652.359,1.573,1.089,2.124,296.328,0,3.625,0,135.963,0.116,0,0.268,0,2970.161,48663.812,1090.68,2652.359,0.578,0.396,0.783,40.531,0,1.392,0,50.147,0.019,0,0.099,0
0,2966.941,16777.724,653.408,2645.976,0.923,0.636,1.248,101.575,0,1.99,0,79.92,0.027,0,0.157,0,2966.941,16777.724,653.408,2645.976,0.476,0.326,0.646,27.291,0,0.955,0,41.406,0.007,0,0.081,0
0,2965.815,16376.91,649.11,2637.245,0.91,0.625,1.233,99.108,0,1.91,0,78.937,0.027,0,0.155,0,2965.815,16376.91,649.11,2637.245,0.835,0.585,1.119,81.031,0,1.216,0,71.635,0.013,0,0.14,0
0,2965.216,14302.723,598.507,2642.175,0.857,0.601,1.15,86.214,0,1.722,0,73.662,0.022,0,0.145,0,2965.216,14302.723,598.507,2642.175,0.892,0.619,1.203,93.658,0,0.916,0,77.009,0.015,0,0.151,0
0,2965.484,11038.489,523.853,2644.008,0.755,0.532,1.01,66.485,0,1.459,0,64.681,0.017,0,0.127,0,2965.484,11038.489,523.853,2644.008,0.589,0.409,0.794,40.533,0,0.614,0,50.84,0.002,0,0.099,0
0,2969.12,10469.736,504.051,2656.091,0.738,0.524,0.984,63.325,0,1.488,0,63.017,0.019,0,0.124,0,2969.12,10469.736,504.051,2656.091,0.436,0.3,0.59,22.475,0,0.553,0,37.798,0.002,0,0.074,0
0,2961.898,11891.023,547.61,2629.824,0.785,0.559,1.045,71.735,0,1.545,0,66.888,0.028,0,0.132,0,2961.898,11891.023,547.61,2629.824,0.759,0.532,1.019,66.954,0,1.136,0,65.248,0.006,0,0.127,0
0,2966.959,13361.791,573.183,2651.977,0.832,0.586,1.113,80.693,0,1.697,0,71.263,0.02,0,0.14,0,2966.959,13361.791,573.183,2651.977,0.731,0.492,1,64.33,0,0.773,0,64.048,0.003,0,0.125,0
0,2966.989,9525.896,489.356,2647.785,0.696,0.481,0.941,57.718,0,1.493,0,60.244,0.015,0,0.118,0,2966.989,9525.896,489.356,2647.785,1.109,0.776,1.491,143.558,0,1.491,0,95.436,0.019,0,0.187,0
0,2967.226,11664.438,537.677,2650.68,0.78,0.555,1.038,70.238,0,1.533,0,66.481,0.018,0,0.13,0,2967.226,11664.438,537.677,2650.68,1.323,0.929,1.774,202.311,0,1.709,0,113.54,0.013,0,0.222,0
0,2968.461,7560.241,429.242,2655.115,0.625,0.44,0.837,45.734,0,1.292,0,53.59,0.013,0,0.105,0,2968.461,7560.241,429.242,2655.115,1.657,1.16,2.224,318.896,0,2.102,0,142.357,0.035,0,0.279,0
0,2964.171,6447.758,410.556,2630.158,0.574,0.401,0.772,38.862,0,1.157,0,49.413,0.011,0,0.097,0,2964.171,6447.758,410.556,2630.158,1.602,1.122,2.15,297.63,0,1.811,0,137.603,0.027,0,0.269,0
0,2963.997,9081.161,476.882,2639.746,0.687,0.488,0.916,54.768,0,1.379,0,58.643,0.016,0,0.115,0,2963.997,9081.161,476.882,2639.746,0.848,0.585,1.147,87.164,0,1.283,0,73.435,0.045,0,0.145,0
0,2966.016,10573.901,513.548,2646.805,0.736,0.512,0.991,63.901,0,1.393,0,63.427,0.016,0,0.124,0,2966.016,10573.901,513.548,2646.805,0.527,0.367,0.709,32.356,0,0.676,0,45.425,0.001,0,0.088,0
0,2966.098,11357.929,528.18,2647.387,0.768,0.543,1.025,68.39,0,1.393,0,65.621,0.017,0,0.129,0,2966.098,11357.929,528.18,2647.387,0.371,0.253,0.505,16.569,0,0.724,0,32.332,0.003,0,0.063,0
0,2966.075,10638.148,511.003,2648.947,0.748,0.537,0.991,64.049,0,1.357,0,63.471,0.017,0,0.125,0,2966.075,10638.148,511.003,2648.947,0.924,0.657,1.229,97.872,0,0.931,0,78.692,0.017,0,0.154,0
0,2964.515,12150.88,553.76,2636.052,0.8,0.576,1.057,73.087,0,1.526,0,67.661,0.024,0,0.133,0,2964.515,12150.88,553.76,2636.052,1.082,0.755,1.455,136.165,0,1.273,0,93.137,0.009,0,0.182,0
0,2966.864,9134.503,477.549,2650.011,0.683,0.475,0.921,55.252,0,1.316,0,58.968,0.014,0,0.116,0,2966.864,9134.503,477.549,2650.011,0.626,0.435,0.843,45.881,0,0.459,0,54.012,0.004,0,0.105,0
0,2968.035,8803.499,470.025,2648.024,0.673,0.472,0.902,53.119,0,1.326,0,57.781,0.014,0,0.113,0,2968.035,8803.499,470.025,2648.024,0.397,0.274,0.536,18.627,0,0.622,0,34.305,0.003,0,0.067,0
0,2964.906,9286.57,492.792,2632.001,0.687,0.476,0.926,55.948,0,1.354,0,59.308,0.015,0,0.116,0,2964.906,9286.57,492.792,2632.001,0.278,0.188,0.38,9.785,0,0.868,0,24.348,0.008,0,0.048,0
1,2964.116,54377.696,1123.994,2644.142,1.778,1.465,2.157,338.554,0,4.547,0,138.086,0.634,0,0.287,0,2964.116,54377.696,1123.994,2644.142,1.297,1.026,1.616,180.088,0,3.889,0,103.443,0.201,0,0.209,0
0,2968.477,14253.444,586.776,2657.027,0.862,0.611,1.149,86.182,0,1.799,0,73.549,0.025,0,0.145,0,2968.477,14253.444,586.776,2657.027,0.509,0.348,0.693,30.984,0,0.633,0,44.352,0.003,0,0.086,0
0,2965.057,14813.412,605.051,2643.489,0.879,0.626,1.169,89.149,0,1.603,0,74.877,0.024,0,0.147,0,2965.057,14813.412,605.051,2643.489,0.518,0.357,0.702,31.844,0,0.856,0,44.978,0.003,0,0.088,0
0,2968.511,14239.777,593.662,2651.35,0.856,0.601,1.149,86.138,0,1.834,0,73.541,0.025,0,0.145,0,2968.511,14239.777,593.662,2651.35,0.81,0.563,1.092,78.249,0,1.222,0,69.942,0.028,0,0.138,0
0,2967.423,12536.117,559.212,2652.349,0.803,0.563,1.078,75.71,0,1.571,0,69.022,0.019,0,0.135,0,2967.423,12536.117,559.212,2652.349,1.087,0.749,1.473,139.411,0,1.35,0,94.289,0.007,0,0.184,0
0,2965.371,10608.566,515.873,2641.379,0.74,0.521,0.99,63.947,0,1.493,0,63.423,0.017,0,0.124,0,2965.371,10608.566,515.873,2641.379,0.843,0.593,1.127,81.95,0,0.953,0,72.171,0.008,0,0.141,0
0,2966.259,12682.128,559.479,2645.819,0.816,0.586,1.082,76.353,0,1.607,0,69.278,0.021,0,0.136,0,2966.259,12682.128,559.479,2645.819,0.415,0.284,0.563,20.747,0,0.677,0,36.033,0.007,0,0.071,0
0,2965.29,9172.876,478.043,2644.514,0.687,0.48,0.922,55.406,0,1.341,0,59.057,0.014,0,0.116,0,2965.29,9172.876,478.043,2644.514,0.279,0.191,0.379,9.49,0,0.75,0,24.262,0.004,0,0.048,0
