flag_labelx,FMD1,FMD2,FMN1,FMN2,FR1,FR2,MAV1,MAV2,MFMD1,MFMD2,MFMN1,MFMN2,MMAV11,MMAV12,MMAV21,MMAV22,SSI1,SSI2,WAMP1,WAMP2,WL1,WL2,ZC1,ZC2
0,539023.663773608,578458.337093982,0.934258433553829,0.934243211690097,0.00430610236220472,0.000178136690220336,162.56,168.41,257.822038645013,266.328387234175,365.196685430166,364.709425834333,121.64,126.255,80.42,84.088,264328.6,283661.65,0,0,24.2,22.9,0,0
0,542207.339837373,579779.450445599,0.934337645646712,0.934258496960355,0.00104339286810289,0.000948766603415573,162.93,168.64,256.179249902632,267.007882103505,363.733336391686,364.908842219494,122.26,126.545,81.594,84.338,265541.85,284462.38,0,0,32.5,22.7,0,0
0,556768.095953279,586777.356066421,0.934265961075883,0.934217819115983,0.00211825939599353,0.000707380334826652,165.23,169.64,262.22137873355,268.388407634812,365.302284354275,364.78159247392,123.595,127.23,81.84,84.984,273069.77,287808.76,0,0,25.4,21.1,0,0
0,531216.577639631,593021.684959718,0.934287763591181,0.934302562289411,0.00347437647350789,0.000703977472720833,161.18,170.46,253.710355061156,269.304799728793,363.922300334807,364.543174205917,121.125,128.005,81.598,85.49,259863.42,290647.12,0,0,28.7,28.3,0,0
0,533418.897250739,676143.391373129,0.934261034510792,0.934344173277751,0.00259419394688082,0.00187204052417133,161.9,181.62,258.005234865061,285.392920552844,365.998227299871,363.630455258499,120.905,136.67,79.914,90.176,262201.5,330259.5,0,0,23.2,32.4,0,0
0,547316.36912879,672858.354123919,0.934456987974854,0.934562651623387,0.00494777350192415,0.00385335241660238,163.71,181.66,258.909924117199,289.411443732127,364.718707421047,365.949949863866,122.725,136.13,82.328,91.948,268124.13,330365.52,0,0,38.5,39.9,0,0
0,550729.341487455,632829.343901747,0.934275639073055,0.934250280805177,0.0010952902519168,0.00192962542565272,164.34,176.2,260.769532818457,279.13206116982,365.276890825115,365.002019224344,122.975,132.09,81.706,88.164,270135.7,310521.54,0,0,26.6,23.2,0,0
0,537031.638064552,608973.112918281,0.934284133690361,0.934334618869859,0.00154140205931322,0.00121534811042307,162.19,172.79,255.341040053798,273.980905316964,363.949411902003,365.156163176065,121.745,129.66,81.424,86.866,263110.31,298696.21,0,0,27.2,30.6,0,0
0,554340.644955294,600068.120813142,0.934275916220083,0.934251716010375,0.00194127638922587,0.00139827546026566,164.84,171.64,261.428919090831,271.932081494244,365.190751838511,365.016794824303,123.33,128.605,81.708,85.578,271784.86,294668.9,0,0,25.8999999999999,23.9,0,0
0,570466.817967818,610827.31186133,0.93430604177563,0.934298323236952,0.00161686328522676,0.000520441797258928,166.99,172.93,261.905512413649,273.422757039282,363.307638737277,364.676316024268,125.49,129.88,83.762,87.006,278953.69,299139.45,0,0,29.4,27.2,0,0
0,560282.893522469,611921.720667875,0.934254216995897,0.934301663246036,0.000361881785283419,0.000923680868260029,165.8,173.22,263.079729959694,274.857501521871,365.272748277589,365.275340576223,123.995,129.37,82.226,84.86,274948.76,300181.42,0,0,24.4,28.8999999999999,0,0
0,551977.093605926,645092.847666091,0.934294766969221,0.934343972741602,0.000730015817009396,0.0015755120414135,164.38,177.72,258.546362901822,281.353140500106,363.790562842642,364.890216203876,123.365,133.43,82.338,89.328,270262.42,315984.5,0,0,27.0000000000001,32.4,0,0
0,551614.463665901,652885.367939675,0.934278550720252,0.934274691162738,0.000911798674852593,0.00162201465406335,164.51,178.79,261.136951060113,281.99655768902,365.339745465967,364.262711606415,123.015,134.13,81.892,89.134,270708.83,319765.01,0,0,27.5,27.4,0,0
0,555136.923307728,656472.451561952,0.934288019483425,0.934323778284535,0.000121329774326578,0.00128183692804997,164.84,179.43,259.034135944139,284.717334926364,363.636265519797,365.27893646152,123.72,134.615,82.36,89.972,271791.28,322098.47,0,0,24.8,31.7,0,0
0,551128.19933666,717921.300798579,0.934304908331622,0.934415390582928,0.00206787495438503,0.00192554557124526,164.42,186.96,260.644982859256,292.021219511889,365.114736326963,362.606013985329,123.015,140.89,81.93,93.416,270414.2,349985.96,0,0,29.4,42.1,0,0
0,527014.50234072,641742.473422287,0.934288659022595,0.934383390619252,0.00037373863211655,0.000844166807361071,160.54,177.69,252.533525487745,283.988678291886,363.808647119961,366.481611338633,120.485,132.885,80.602,89.56,257776.64,316093.55,0,0,27.3,38.8,0,0
0,539438.52482918,620811.037779507,0.934297696509906,0.934237482097691,0.000368958307711312,0.000572737686139748,162.62,174.6,257.662417622666,276.849003429172,365.03042857351,365.155014382253,121.585,130.605,80.082,86.442,264532.66,304908.54,0,0,28.6,23.5,0,0
0,525750.543297556,578961.476091322,0.934337630790261,0.934350106892289,0.00249469876512411,0.000177946497419816,160.34,168.59,252.04395444124,268.407600318431,363.69096508799,365.836834426457,120.48,126.38,81.348,84.894,257194.8,284424.01,0,0,31.1,33.3,0,0
0,517863.429814061,612177.421121512,0.934287837614778,0.934326279657203,0.000627431296273058,6.57377343134128e-17,159.38,172.94,253.01703779038,271.53247840399,365.35518567774,363.492386112577,118.995,129.76,78.03,85.908,254114.08,299252.04,0,0,25.7,31.9999999999999,0,0
0,518079.56364149,626587.93497114,0.93430206131929,0.934321963221249,0.00113122171945698,0.00285322985619715,159.12,175.24,249.908752156897,277.349756992718,363.543361458477,364.843311299914,119.525,131.435,80.13,87.198,253248.96,307239.52,0,0,28,26.8,0,0
0,521916.326709068,614127.809068035,0.93425366061337,0.934262850174872,0.00125015626953369,0.00265038027195201,159.98,173.56,253.377287805078,274.730399967613,364.962546421475,364.867569544096,119.66,130.085,78.96,86.87,255983.94,301302.98,0,0,23.4,25.9,0,0
0,499851.639965365,589676.516850941,0.934315097624874,0.934317583906934,0.00127909951394218,0.000764840854268374,156.36,169.97,245.542500239923,269.027157777823,363.521590114712,364.854679699541,117.44,127.575,78.672,85.156,244544.18,289004.89,0,0,27.4000000000001,27.3,0,0
0,524088.337560168,577858.986457799,0.93427543991789,0.934271232452231,0.0023702594810379,0.00154467680608366,160.32,168.32,254.754690940855,267.012368856066,365.516992672013,365.23125804135,119.65,126.195,78.316,84.41,257157.64,283385.8,0,0,27.5,22.8,0,0
