flag_labelx,FMN1,FMD1,MFMD1,MFMN1,MMAV11,MMAV21,MAV1,SSI1,WAMP1,WL1,ZC1,IEMG1,VAR1,SSC1,RMS1,FR1,FMN2,FMD2,MFMD2,MFMN2,MMAV12,MMAV22,MAV2,SSI2,WAMP2,WL2,ZC2,IEMG2,VAR2,SSC2,RMS2,FR2
1,2967.299,1364.979,183.897,2651.207,0.266,0.187,0.355,8.233,0,0.521,0,22.763,0.002,0,0.044,0,2967.299,1364.979,183.897,2651.207,2.296,1.611,3.078,614.265,0,3.39,0,197.045,0.118,0,0.387,0
1,2967.774,1043.054,160.218,2652.859,0.231,0.162,0.31,6.295,0,0.482,0,19.895,0.001,0,0.039,0,2967.774,1043.054,160.218,2652.859,2.295,1.609,3.078,614.571,0,3.554,0,197.051,0.122,0,0.387,0
1,2965.038,958.482,155.377,2640.762,0.221,0.155,0.298,5.778,0,0.435,0,19.072,0.001,0,0.037,0,2965.038,958.482,155.377,2640.762,2.291,1.607,3.073,612.307,0,3.406,0,196.696,0.121,0,0.386,0
1,2967.077,1305.889,180.099,2650.01,0.259,0.182,0.348,7.885,0,0.536,0,22.279,0.002,0,0.043,0,2967.077,1305.889,180.099,2650.01,2.29,1.606,3.072,611.718,0,3.295,0,196.633,0.118,0,0.386,0
1,2965.85,1238.155,176.574,2643.576,0.253,0.179,0.338,7.453,0,0.515,0,21.663,0.001,0,0.042,0,2965.85,1238.155,176.574,2643.576,2.29,1.606,3.071,611.243,0,3.379,0,196.57,0.117,0,0.386,0
1,2966.954,1233.802,174.262,2650.721,0.252,0.178,0.338,7.436,0,0.482,0,21.635,0.001,0,0.042,0,2966.954,1233.802,174.262,2650.721,2.29,1.605,3.072,611.655,0,3.451,0,196.61,0.119,0,0.386,0
1,2966.952,755.264,136.944,2650.074,0.196,0.136,0.264,4.564,0,0.421,0,16.946,0.001,0,0.033,0,2966.952,755.264,136.944,2650.074,2.289,1.605,3.07,611.269,0,3.597,0,196.487,0.125,0,0.386,0
0,2968.62,17227.02,632.697,2656.151,0.968,0.722,1.252,103.797,0,2.205,0,80.159,0.053,0,0.159,0,2968.62,17227.02,632.697,2656.151,1.293,1.002,1.624,253.681,0,3.886,0,103.974,1.324,0,0.248,0
0,2964.242,14930.014,612.848,2637.326,0.881,0.627,1.173,89.76,0,1.337,0,75.105,0.025,0,0.148,0,2964.242,14930.014,612.848,2637.326,0.018,0,0.037,1.883,0,1.662,0,2.399,0.028,0,0.021,0
0,2971.084,6440.757,394.515,2652.798,0.574,0.401,0.771,39.16,0,1.224,0,49.372,0.016,0,0.097,0,2971.084,6440.757,394.515,2652.798,2.171,1.521,2.914,548.974,0,2.378,0,186.538,0.082,0,0.366,0
