flag_labelx,FMD1,FMD2,FMN1,FMN2,FR1,FR2,MAV1,MAV2,MFMD1,MFMD2,MFMN1,MFMN2,MMAV11,MMAV12,MMAV21,MMAV22,SSI1,SSI2,WAMP1,WAMP2,WL1,WL2,ZC1,ZC2
0,440410.53670204,464749.670662349,0.934240714630553,1.08649725088714,0.00217894593490387,0.101305992741562,146.86,124.58,231.372203045092,302.687418404723,364.070707351273,423.578743901033,110.385,92.98,73.942,73.356,215723.32,222621.92,0,2,20.9,568.5,0,0
0,429575.686930683,213418.488482085,0.93436850299013,1.39660311546668,0.00516778061048707,0.0700080551823127,145.13,63.17,230.833625238367,220.419956725265,365.674339573784,456.90952133554,108.43,47.185,72.034,24.06,210719.17,95004.45,0,3,30.1,750.4,0,0
0,378803.500184375,748815.649137111,0.934583650578861,1.11165511920522,0.00286954602310359,0.106671509868023,135.91,165.18,213.512930947546,377.576647800206,363.588735168595,416.673576283666,102.155,127.2,69.52,107.896,185000.51,356623.42,0,4,36.4,1028.6,0,0
0,318919.830172985,805846.051576016,0.934300059430208,1.00588780837746,0.0042335649812285,0.0375131708301319,125.19,191.17,199.202105191835,352.375258768995,365.744743002671,388.661806607087,93.87,139.34,62.83,89.786,156777.67,397075.33,0,2,18.9,473,0,0
0,285784.53496498,604462.845743435,0.934416036360351,0.934719646330355,0.000675219446320016,0.00861819654115339,118.48,172.89,188.719987824045,277.678175880257,365.917750962036,367.299399071674,88.71,128.97,59.748,86.09,140499.12,299307.43,0,0,26.4,55.3,0,0
0,304505.513581251,574980.039058408,0.934642103870433,0.934894862818404,0.0048947626040137,0.00738622825827971,122.58,167.88,199.051234839784,266.937931787055,369.114306878609,365.623934746575,90.785,126.825,58.638,88.494,150594.08,282704.8,0,0,33.3,60.2,0,0
0,533890.120376824,521404.733401151,0.971950165058299,0.93492302020389,0.0096986245640374,0.0111291734400401,149.11,159.94,246.117676653262,253.48152642831,371.773760663202,365.073865798806,115.935,119.62,76.424,80.808,244927.99,256247.12,0,0,243.8,64.1,0,0
0,1094275.98219599,449131.016591198,0.979699636141958,0.934465793092138,0.0353087775422783,0.00290246371920348,221.81,148.15,394.816728332787,234.720218378739,383.518674812895,365.019470388133,161.025,111.31,95.528,76.122,538335.17,219830.69,0,0,501.8,33.3,0,0
0,646560.128917444,465168.843755845,1.06834724472099,0.934621932606426,0.0863889967655513,0.00126675111674118,165.64,149.99,361.218662163889,233.453792449816,411.050983905258,362.004639489427,115.745,112.945,73.282,73.828,328533.62,225383.11,0,0,722.9,38.9999999999999,0,0
0,424416.610836895,461669.438238041,0.934986378137812,0.934858692949224,0.0188079103858388,0.00947961551209816,144.62,150.85,239.123341413946,242.650872302847,372.055337194207,367.553312495573,107.93,112.29,75.38,73.078,211248.94,227943.51,0,0,55.5,55.6000000000001,0,0
