?.40  0
11.20  41.20  0
11.10  40.40  0
11.10  40.00  0
10.50  40.10  0
11.10  40.90  0
11.40  42.00  0
11.80  42.70  0
11.70  43.30  0
11.40  43.30  0
11.20  42.70  0
11.60  42.10  0
11.70  42.20  0
11.20  41.60  0

23.60  247.80  0
24.90  251.60  0
26.30  251.80  0
27.20  252.00  0
28.40  254.70  0
29.40  256.00  0
32.80  257.00  0
36.10  257.40  0
38.50  261.50  0
40.10  261.80  0
41.00  264.00  0
41.40  268.20  0
42.10  266.90  0
42.80  264.70  0
43.90  265.90  0
45.60  266.30  0
50.10  266.70  0
53.10  268.40  0
55.40  269.10  0
57.30  270.90  0
56.70  273.00  0
57.60  275.00  0
58.30  272.70  0
58.60  273.40  0
58.90  274.50  0
59.20  275.90  0
60.10  277.30  0
60.30  275.60  0
60.50  277.40  0
60.50  277.80  0
60.90  279.70  0
61.60  280.40  0
61.40  277.70  0
61.80  281.40  0
62.10  281.60  0
62.00  282.90  0
62.20  281.50  0
62.60  281.00  0
62.60  283.40  0
62.50  286.00  0
62.60  283.90  0
63.00  286.60  0
62.60  284.30  0
63.10  286.70  0
62.70  285.80  0
62.60  284.70  0
62.50  287.20  0
62.80  288.50  0
62.60  285.60  0
62.30  289.00  0
62.40  289.90  0
62.60  291.60  0
62.00  289.30  0
62.10  290.20  0
62.40  289.80  0
62.10  291.30  0
61.50  290.20  0
61.60  291.00  0
61.30  292.60  0
61.30  292.30  0
61.00  292.90  0
60.70  294.30  0
60.50  293.50  0
60.50  293.70  0

57.60  297.30  0
57.20  297.60  0
57.00  296.40  0
56.70  298.90  0
56.40  299.00  0
56.30  299.90  0
56.10  32.30  0
55.50  30.70  0
55.40  30.60  0
55.30  32.30  0
54.90  31.10  0
54.60  299.70  0
54.30  299.60  0
54.10  298.70  0
53.70  33.20  0
53.20  32.10  0
52.90  34.30  0
53.00  34.00  0
52.20  33.60  0
52.20  31.80  0
51.80  33.10  0
51.60  30.10  0
51.20  32.80  0
51.10  32.00  0
50.80  33.20  0
50.50  34.70  0
50.10  37.10  0
49.90  33.90  0
49.70  34.30  0
48.90  33.40  0
48.50  33.10  0
49.20  35.40  0
48.50  35.60  0
47.80  33.80  0
47.40  34.00  0
47.20  34.50  0
47.00  35.80  0
46.60  35.70  0
46.40  36.80  0
45.90  36.20  0
46.10  37.50  0
45.40  36.30  0
45.10  36.20  0
44.90  35.30  0
44.70  36.70  0
44.60  39.20  0
44.20  38.50  0
43.90  39.50  0
43.50  38.00  0
43.30  38.20  0
43.20  38.00  0
42.70  37.00  0
42.40  38.00  0
42.20  36.00  0
41.80  35.90  0
41.20  37.60  0
41.30  39.50  0
40.80  37.90  0
40.60  310.50  0
40.60  38.40  0
40.00  38.50  0
39.50  36.30  0
39.30  37.80  0
38.90  38.40  0

36.20  39.40  0
36.30  311.80  0
35.60  312.90  0
35.80  310.50  0
35.40  39.00  0
34.90  38.80  0
35.00  39.90  0
34.90  39.10  0
34.40  39.10  0
34.10  310.20  0
33.50  310.50  0
33.70  311.80  0
33.40  312.80  0
33.10  311.60  0
33.10  39.80  0
32.90  38.80  0
32.70  311.10  0
32.40  312.90  0
32.00  39.60  0
32.10  38.40  0
31.70  312.20  0
31.60  310.90  0
31.50  313.40  0
31.00  312.70  0
31.20  311.40  0
30.60  310.50  0
30.60  39.90  0
30.50  313.70  0
30.20  310.80  0
29.90  310.40  0
29.70  312.30  0
29.80  312.60  0
29.40  313.10  0
29.10  312.30  0
29.10  310.80  0
28.40  310.10  0
28.70  311.10  0
28.60  311.30  0
28.30  310.80  0
27.70  39.80  0
27.90  312.80  0
27.70  311.60  0
27.70  314.20  0
27.60  313.40  0
27.20  311.70  0
26.70  310.30  0
27.00  311.70  0
26.60  311.20  0
26.40  312.30  0
26.00  311.80  0
26.10  312.10  0
26.10  313.80  0
25.70  313.70  0
25.70  313.60  0
25.50  312.60  0
25.20  312.60  0
25.00  310.80  0
25.10  315.90  0
24.80  312.00  0
24.60  311.10  0
24.80  311.30  0
24.40  313.20  0
24.20  314.50  0
23.90  312.20  0

22.30  313.00  0
22.20  312.00  0
21.70  312.20  0
21.70  312.90  0
21.90  312.00  0
21.50  314.60  0
21.40  316.70  0
21.40  315.40  0
21.30  313.30  0
21.00  312.60  0
20.80  311.80  0
20.80  312.50  0
20.30  313.10  0
20.30  311.40  0
20.40  310.90  0
19.80  313.00  0
20.40  314.90  0
19.50  314.70  0
19.90  312.50  0
19.60  314.90  0
19.40  311.60  0
19.20  315.20  0
19.10  313.40  0
19.40  312.50  0
18.60  310.10  0
18.80  312.60  0
19.00  312.10  0
19.00  317.00  0
18.80  315.20  0
18.60  313.80  0
18.40  312.60  0
18.00  313.80  0
17.80  313.10  0
17.90  311.70  0
17.50  311.70  0
17.90  312.60  0
17.80  314.40  0
17.70  310.90  0
17.40  314.50  0
16.90  314.40  0
17.10  313.10  0
17.10  313.40  0
17.30  314.60  0
16.80  313.40  0
16.70  312.80  0
17.00  311.80  0
16.50  313.40  0
16.70  314.00  0
16.40  315.70  0
16.40  314.90  0
16.10  314.00  0
15.90  312.10  0
15.70  315.30  0
16.50  314.60  0
15.70  313.70  0
15.70  313.80  0
15.60  316.10  0
15.20  316.10  0
15.30  314.10  0
15.30  313.60  0
15.40  314.20  0
14.80  315.50  0
14.90  313.00  0
14.70  313.60  0

13.80  313.90  0
14.00  315.80  0
13.60  317.60  0
13.50  314.10  0
13.20  315.00  0
13.20  315.50  0
13.10  314.20  0
13.10  313.80  0
12.90  314.50  0
12.60  313.70  0
12.40  313.80  0
13.20  315.80  0
13.10  318.70  0
12.50  314.50  0
12.60  315.70  0
12.70  313.70  0
12.20  313.40  0
12.50  316.60  0
12.00  313.90  0
12.00  313.50  0
12.40  315.60  0
12.00  315.00  0
12.00  316.60  0
11.70  313.30  0
12.00  313.50  0
11.70  315.00  0
11.60  314.60  0
11.90  315.90  0
11.40  316.20  0
11.60  314.60  0
11.10  314.00  0
11.10  315.00  0
11.20  313.80  0
11.10  315.00  0
11.00  315.40  0
11.10  312.40  0
11.10  316.90  0
10.80  311.30  0
10.60  313.90  0
10.80  316.70  0
10.90  317.40  0
10.70  314.70  0
10.70  318.30  0
10.70  316.80  0
10.30  314.90  0
10.50  315.10  0
10.40  313.40  0
10.30  315.40  0
10.10  315.20  0
10.30  314.80  0
10.40  315.60  0
9.90  315.90  0
10.20  316.70  0
10.80  315.30  0
9.90  314.70  0
10.20  314.10  0
9.80  316.50  0
9.60  317.90  0
9.90  314.00  0
9.50  315.40  0
9.50  314.20  0
9.60  318.60  0
9.50  318.80  0
9.30  316.70  0

8.80  315.50  0
8.80  315.70  0
8.80  318.50  0
8.90  315.20  0
8.70  315.40  0
8.30  315.20  0
8.60  315.90  0
8.70  318.80  0
8.30  317.70  0
8.60  315.90  0
8.20  315.50  0
8.20  316.30  0
8.50  316.00  0
8.30  315.00  0
8.00  315.00  0
8.20  315.90  0
8.30  317.40  0
8.20  316.30  0
8.20  316.00  0
8.00  315.60  0
8.20  316.20  0
8.50  313.40  0
8.20  320.80  0
8.40  314.40  0
8.10  317.80  0
8.30  318.30  0
7.90  318.00  0
7.80  317.20  0
7.80  315.00  0
7.70  316.60  0
7.90  313.50  0
8.00  314.80  0
7.80  314.90  0
8.20  315.00  0
7.90  314.60  0
7.80  315.90  0
7.80  318.20  0
7.70  320.40  0
7.80  314.10  0
7.80  316.30  0
7.80  314.50  0
7.80  315.40  0
7.80  315.50  0
7.80  316.70  0
7.40  313.80  0
7.40  316.30  0
7.50  316.70  0
7.80  322.50  0
7.60  316.20  0
7.30  318.30  0
7.30  316.30  0
7.60  316.90  0
7.80  315.00  0
7.80  314.00  0
7.40  315.20  0
7.40  315.40  0
7.70  318.30  0
7.60  315.50  0
7.40  315.90  0
7.60  315.90  0
7.50  314.20  0
7.60  315.20  0
7.40  318.80  0
7.20  315.40  0

7.30  314.40  0
7.30  318.80  0
7.30  320.00  0
7.30  315.90  0
7.10  315.30  0
7.20  314.50  0
7.10  314.30  0
7.30  316.60  0
7.30  314.30  0
7.20  316.60  0
7.40  316.80  0
7.40  317.00  0
7.20  315.90  0
7.40  316.30  0
6.90  316.60  0
7.20  315.90  0
7.10  316.80  0
7.90  315.80  0
7.20  317.10  0
7.20  315.50  0
7.10  316.20  0
7.20  318.20  0
6.70  318.80  0
7.20  316.70  0
7.10  316.60  0
7.30  316.20  0
7.20  314.40  0
7.30  317.10  0
7.70  317.10  0
7.20  315.70  0
7.00  316.50  0
7.10  318.40  0
7.20  319.60  0
7.20  317.80  0
7.30  316.70  0
7.30  315.00  0
7.00  315.80  0
7.50  320.00  0
7.20  315.60  0
7.00  316.00  0
7.30  318.80  0
7.40  316.50  0
7.00  318.50  0
7.10  314.80  0
7.20  317.40  0
7.00  315.30  0
7.10  314.00  0
7.10  318.60  0
7.30  318.30  0
7.10  315.40  0
7.10  317.50  0
6.90  316.80  0
7.00  318.50  0
6.90  318.30  0
7.20  316.90  0
7.10  316.60  0
6.60  315.00  0
7.10  312.00  0
7.00  317.00  0
6.90  316.70  0
7.10  316.00  0
7.00  319.50  0
7.00  314.20  0
7.00  317.10  0

7.30  318.10  0
7.20  316.50  0
6.60  318.60  0
7.10  314.80  0
7.30  317.20  0
7.00  315.70  0
6.80  319.90  0
6.90  319.40  0
7.00  316.80  0
6.90  317.10  0
6.90  316.70  0
7.00  318.00  0
6.60  318.20  0
7.20  316.10  0
6.80  316.10  0
7.00  316.20  0
7.00  317.60  0
7.10  318.10  0
7.10  317.50  0
7.00  316.70  0
7.20  315.30  0
7.30  315.50  0
6.60  319.20  0
7.40  316.20  0
7.00  316.20  0
6.80  317.40  0
7.20  318.90  0
7.00  318.60  0
7.20  317.10  0
7.10  316.90  0
7.20  315.40  0
7.00  314.20  0
7.00  314.50  0
7.10  316.90  0
7.10  314.90  0
7.00  318.30  0
7.40  318.80  0
7.00  319.80  0
7.00  317.20  0
7.10  315.00  0
7.20  316.90  0
7.10  314.30  0
7.00  317.90  0
7.00  317.10  0
7.00  316.30  0
6.90  316.80  0
7.10  318.80  0
7.00  318.70  0
7.00  316.60  0
7.40  317.50  0
7.00  317.00  0
7.10  317.00  0
7.10  316.70  0
7.20  314.90  0
7.20  316.70  0
7.40  316.60  0
6.90  317.50  0
7.00  319.00  0
7.20  317.10  0
6.60  315.00  0
6.90  316.20  0
7.00  317.80  0
7.10  317.80  0
7.20  318.80  0

6.90  315.00  0
6.90  317.70  0
7.30  320.40  0
7.00  318.30  0
7.30  315.10  0
6.70  315.90  0
7.20  314.00  0
6.90  313.80  0
7.30  315.40  0
6.80  316.10  0
7.00  315.90  0
6.80  319.50  0
6.60  319.10  0
7.00  315.60  0
7.20  317.60  0
6.90  316.60  0
6.80  316.30  0
6.90  317.10  0
7.00  314.20  0
7.10  316.10  0
6.70  316.60  0
7.00  316.30  0
7.30  320.40  0
7.00  318.30  0
7.40  317.50  0
7.00  319.30  0
7.00  316.00  0
6.70  316.70  0
7.00  316.20  0
6.80  316.10  0
6.90  316.50  0
7.20  316.60  0
