flag_labelx,FMN1,FMD1,MFMD1,MFMN1,MMAV11,MMAV21,MAV1,SSI1,WAMP1,WL1,ZC1,IEMG1,VAR1,SSC1,RMS1,FR1,FMN2,FMD2,MFMD2,MFMN2,MMAV12,MMAV22,MAV2,SSI2,WAMP2,WL2,ZC2,IEMG2,VAR2,SSC2,RMS2,FR2
0,2964.894,7168.252,424.241,2641.634,0.611,0.433,0.814,43.17,0,1.114,0,52.113,0.011,0,0.102,0,2964.894,7168.252,424.241,2641.634,0.231,0.157,0.314,6.618,0,0.738,0,20.123,0.004,0,0.04,0
0,2966.668,8679.429,467.857,2646.726,0.666,0.463,0.897,52.427,0,1.305,0,57.445,0.013,0,0.113,0,2966.668,8679.429,467.857,2646.726,0.238,0.162,0.323,7.082,0,0.804,0,20.727,0.005,0,0.041,0
0,2968.143,9270.044,477.631,2653.575,0.69,0.481,0.927,56.069,0,1.338,0,59.353,0.016,0,0.116,0,2968.143,9270.044,477.631,2653.575,0.248,0.169,0.337,7.574,0,0.78,0,21.585,0.004,0,0.043,0
0,2964.369,7836.853,452.146,2632.928,0.634,0.443,0.851,47.257,0,1.242,0,54.498,0.013,0,0.107,0,2964.369,7836.853,452.146,2632.928,0.95,0.669,1.271,108.491,0,1.666,0,81.404,0.077,0,0.162,0
0,2966.113,9336.669,482.292,2647.423,0.697,0.493,0.93,56.292,0,1.296,0,59.538,0.014,0,0.117,0,2966.113,9336.669,482.292,2647.423,1.31,0.914,1.761,200.589,0,1.738,0,112.737,0.031,0,0.221,0
0,2966.982,8586.064,461.502,2650.057,0.666,0.47,0.891,51.748,0,1.195,0,57.08,0.013,0,0.112,0,2966.982,8586.064,461.502,2650.057,1.467,1.02,1.975,251.276,0,2.078,0,126.445,0.022,0,0.247,0
0,2968.025,8088.023,447.691,2650.675,0.644,0.45,0.866,48.891,0,1.222,0,55.438,0.013,0,0.109,0,2968.025,8088.023,447.691,2650.675,1.674,1.179,2.24,323.417,0,1.798,0,143.416,0.031,0,0.28,0
0,2966.635,8226.933,451.711,2649.3,0.653,0.46,0.873,49.571,0,1.198,0,55.875,0.012,0,0.11,0,2966.635,8226.933,451.711,2649.3,0.839,0.579,1.134,85.135,0,1.353,0,72.63,0.042,0,0.144,0
0,2968.088,9491.811,481.475,2654.304,0.7,0.493,0.937,57.337,0,1.37,0,60.028,0.016,0,0.118,0,2968.088,9491.811,481.475,2654.304,0.36,0.247,0.489,15.528,0,0.552,0,31.314,0.003,0,0.061,0
0,2965.861,8409.907,459.791,2644.46,0.658,0.462,0.883,50.73,0,1.201,0,56.528,0.012,0,0.111,0,2965.861,8409.907,459.791,2644.46,0.473,0.307,0.658,29.63,0,1.263,0,42.173,0.028,0,0.085,0
0,2964.552,8770.719,473.351,2635.551,0.668,0.463,0.902,53.019,0,1.326,0,57.743,0.014,0,0.113,0,2964.552,8770.719,473.351,2635.551,1.394,0.977,1.87,226.705,0,2.048,0,119.718,0.043,0,0.235,0
0,2966.571,8634.309,461.523,2648.468,0.668,0.472,0.894,51.992,0,1.289,0,57.216,0.013,0,0.112,0,2966.571,8634.309,461.523,2648.468,1.4,0.974,1.886,229.255,0,1.897,0,120.759,0.021,0,0.236,0
0,2966.692,8551.811,461.986,2648.197,0.664,0.466,0.89,51.562,0,1.222,0,56.986,0.012,0,0.112,0,2966.692,8551.811,461.986,2648.197,1.569,1.095,2.109,286.504,0,2.316,0,135.005,0.026,0,0.264,0
0,2965.195,9346.056,483.541,2642.164,0.695,0.49,0.93,56.314,0,1.336,0,59.545,0.014,0,0.117,0,2965.195,9346.056,483.541,2642.164,1.581,1.107,2.122,289.912,0,1.982,0,135.827,0.025,0,0.266,0
0,2965.802,9695.026,494.59,2643.446,0.708,0.5,0.947,58.375,0,1.333,0,60.635,0.014,0,0.119,0,2965.802,9695.026,494.59,2643.446,1.266,0.886,1.699,187.31,0,1.572,0,108.769,0.038,0,0.213,0
0,2965.72,7720.864,439.141,2646.514,0.63,0.441,0.846,46.645,0,1.279,0,54.186,0.012,0,0.106,0,2965.72,7720.864,439.141,2646.514,0.511,0.352,0.691,31.045,0,0.371,0,44.251,0.007,0,0.087,0
0,2967.687,8268.217,454.155,2646.887,0.649,0.452,0.875,49.932,0,1.302,0,56.026,0.013,0,0.11,0,2967.687,8268.217,454.155,2646.887,0.315,0.216,0.427,11.882,0,0.663,0,27.335,0.003,0,0.053,0
0,2956.112,36701.444,1072.303,2547.555,1.268,0.815,1.771,229.511,0,3.322,0,113.364,0.448,0,0.236,0,2956.112,36701.444,1072.303,2547.555,0.28,0.179,0.391,16.49,0,2.804,0,25.055,0.104,0,0.063,0
0,2966.25,90446.32,1505.428,2646.15,2.163,1.522,2.895,545.193,0,3.322,0,185.318,0.134,0,0.364,0,2966.25,90446.32,1505.428,2646.15,0.271,0.174,0.378,15.911,0,2.819,0,24.21,0.105,0,0.062,0
0,2967.848,76351.376,1365.233,2652.527,1.983,1.392,2.66,461.413,0,4.066,0,170.296,0.129,0,0.335,0,2967.848,76351.376,1365.233,2652.527,0.233,0.15,0.324,11.205,0,2.363,0,20.796,0.069,0,0.052,0
0,2969.766,23294.706,749.62,2659.314,1.102,0.779,1.469,141.402,0,2.46,0,94.057,0.049,0,0.185,0,2969.766,23294.706,749.62,2659.314,0.235,0.158,0.323,7.567,0,1.191,0,20.694,0.013,0,0.042,0
0,2967.993,16011.399,623.264,2653.175,0.914,0.65,1.216,96.527,0,1.696,0,77.886,0.027,0,0.153,0,2967.993,16011.399,623.264,2653.175,0.257,0.175,0.349,8.432,0,0.995,0,22.397,0.009,0,0.045,0
0,2968.374,10328.312,502.012,2655.79,0.73,0.513,0.978,62.472,0,1.395,0,62.645,0.018,0,0.123,0,2968.374,10328.312,502.012,2655.79,0.26,0.177,0.353,8.336,0,0.803,0,22.644,0.005,0,0.045,0
0,2966.419,10472.75,513.396,2647.202,0.736,0.518,0.985,63.191,0,1.42,0,63.081,0.015,0,0.124,0,2966.419,10472.75,513.396,2647.202,0.303,0.202,0.417,11.728,0,0.987,0,26.716,0.009,0,0.053,0
0,2964.442,10497.523,508.655,2644.707,0.743,0.533,0.984,63.336,0,1.478,0,63.024,0.019,0,0.124,0,2964.442,10497.523,508.655,2644.707,0.639,0.448,0.858,47.174,0,0.487,0,54.919,0,0,0.107,0
0,2965.854,9113.672,474.209,2647.3,0.688,0.487,0.918,54.882,0,1.256,0,58.786,0.013,0,0.115,0,2965.854,9113.672,474.209,2647.3,0.48,0.331,0.648,27.175,0,0.543,0,41.521,0.003,0,0.081,0
0,2965.554,9628.541,493.79,2642.303,0.702,0.489,0.945,58.188,0,1.414,0,60.525,0.014,0,0.119,0,2965.554,9628.541,493.79,2642.303,0.346,0.236,0.47,14.423,0,0.753,0,30.082,0.004,0,0.059,0
0,2967.177,12713.04,563.277,2645.393,0.807,0.565,1.084,76.568,0,1.534,0,69.402,0.02,0,0.136,0,2967.177,12713.04,563.277,2645.393,0.295,0.201,0.401,10.826,0,0.917,0,25.681,0.008,0,0.051,0
0,2968.651,10857.399,516.497,2651.566,0.75,0.53,1.002,65.492,0,1.4,0,64.129,0.019,0,0.126,0,2968.651,10857.399,516.497,2651.566,0.25,0.17,0.34,7.81,0,0.785,0,21.805,0.005,0,0.043,0
0,2966.484,7822.295,443.563,2645.36,0.629,0.434,0.852,47.33,0,1.249,0,54.568,0.012,0,0.107,0,2966.484,7822.295,443.563,2645.36,0.24,0.163,0.326,7.11,0,0.74,0,20.893,0.004,0,0.041,0
