flag_labelx,FMN1,FMD1,MFMD1,MFMN1,MMAV11,MMAV21,MAV1,SSI1,WAMP1,WL1,ZC1,IEMG1,VAR1,SSC1,RMS1,FR1,FMN2,FMD2,MFMD2,MFMN2,MMAV12,MMAV22,MAV2,SSI2,WAMP2,WL2,ZC2,IEMG2,VAR2,SSC2,RMS2,FR2
0,2966.847,181.003,67.278,2647.675,0.096,0.068,0.129,1.092,0,0.256,0,8.294,0,0,0.016,0,2966.847,181.003,67.278,2647.675,0.227,0.159,0.306,6.038,0,0.327,0,19.597,0,0,0.038,0
0,2964.345,216.011,74.716,2634.825,0.105,0.074,0.141,1.302,0,0.268,0,9.045,0,0,0.017,0,2964.345,216.011,74.716,2634.825,0.217,0.152,0.292,5.478,0,0.254,0,18.689,0,0,0.036,0
0,2965.938,318.727,88.756,2645.574,0.128,0.09,0.171,1.918,0,0.318,0,10.988,0,0,0.021,0,2965.938,318.727,88.756,2645.574,0.507,0.34,0.697,35.477,0,1.136,0,44.661,0.067,0,0.093,0
0,2968.134,297.963,85.937,2648.787,0.123,0.085,0.166,1.803,0,0.29,0,10.64,0,0,0.02,0,2968.134,297.963,85.937,2648.787,1.021,0.709,1.379,123.524,0,2.004,0,88.296,0.026,0,0.173,0
0,2966.184,270.154,82.271,2644.871,0.118,0.084,0.158,1.631,0,0.31,0,10.134,0,0,0.019,0,2966.184,270.154,82.271,2644.871,0.895,0.633,1.194,92.544,0,1.622,0,76.418,0.02,0,0.15,0
0,2965.411,245.641,79.427,2639.569,0.112,0.079,0.15,1.479,0,0.26,0,9.649,0,0,0.019,0,2965.411,245.641,79.427,2639.569,0.747,0.526,1.001,64.943,0,1.27,0,64.074,0.012,0,0.125,0
0,2966.109,348.671,93.225,2645.613,0.134,0.094,0.179,2.099,0,0.31,0,11.497,0,0,0.022,0,2966.109,348.671,93.225,2645.613,0.623,0.434,0.839,45.592,0,1.095,0,53.75,0.007,0,0.105,0
0,2966.846,346.853,92.703,2650.834,0.133,0.093,0.179,2.094,0,0.296,0,11.482,0,0,0.022,0,2966.846,346.853,92.703,2650.834,0.459,0.321,0.617,24.788,0,0.78,0,39.545,0.005,0,0.077,0
0,2965.588,331.75,91.547,2642.429,0.13,0.091,0.175,1.997,0,0.309,0,11.215,0,0,0.022,0,2965.588,331.75,91.547,2642.429,0.382,0.267,0.514,17.044,0,0.594,0,32.911,0.001,0,0.064,0
0,2967.22,367.452,94.68,2651.173,0.138,0.099,0.184,2.21,0,0.332,0,11.786,0,0,0.023,0,2967.22,367.452,94.68,2651.173,0.422,0.294,0.568,20.909,0,0.711,0,36.412,0.003,0,0.071,0
0,2966.297,209.315,71.854,2648.942,0.103,0.073,0.139,1.261,0,0.26,0,8.91,0,0,0.017,0,2966.297,209.315,71.854,2648.942,0.856,0.608,1.139,84.906,0,1.455,0,72.907,0.028,0,0.143,0
0,2965.55,151.448,61.882,2643.248,0.087,0.061,0.118,0.913,0,0.236,0,7.582,0,0,0.014,0,2965.55,151.448,61.882,2643.248,0.819,0.573,1.101,78.745,0,1.5,0,70.479,0.017,0,0.138,0
0,2965.733,142.666,59.947,2643.05,0.085,0.06,0.115,0.86,0,0.247,0,7.362,0,0,0.014,0,2965.733,142.666,59.947,2643.05,0.506,0.351,0.682,30.413,0,0.991,0,43.674,0.009,0,0.086,0
0,2965.937,146.97,60.711,2647.855,0.087,0.061,0.116,0.887,0,0.258,0,7.473,0,0,0.014,0,2965.937,146.97,60.711,2647.855,0.314,0.219,0.422,11.625,0,0.558,0,27.017,0.003,0,0.053,0
0,2968.04,122.868,54.993,2654.07,0.079,0.055,0.106,0.743,0,0.205,0,6.835,0,0,0.013,0,2968.04,122.868,54.993,2654.07,0.217,0.152,0.292,5.5,0,0.391,0,18.692,0,0,0.036,0
0,2965.217,120.684,54.758,2645.354,0.078,0.055,0.105,0.728,0,0.22,0,6.773,0,0,0.013,0,2965.217,120.684,54.758,2645.354,0.226,0.157,0.304,5.973,0,0.36,0,19.48,0,0,0.038,0
0,2966.94,109.535,52.198,2648.55,0.075,0.053,0.1,0.66,0,0.24,0,6.45,0,0,0.012,0,2966.94,109.535,52.198,2648.55,0.231,0.161,0.311,6.243,0,0.372,0,19.911,0,0,0.039,0
0,2966.094,97.116,49.638,2645.741,0.07,0.049,0.094,0.586,0,0.216,0,6.077,0,0,0.011,0,2966.094,97.116,49.638,2645.741,0.218,0.152,0.293,5.558,0,0.351,0,18.787,0,0,0.036,0
0,2966.72,93.882,48.269,2647.97,0.069,0.049,0.093,0.567,0,0.207,0,5.977,0,0,0.011,0,2966.72,93.882,48.269,2647.97,0.185,0.129,0.248,3.98,0,0.302,0,15.905,0,0,0.031,0
0,2965.911,90.135,47.686,2643.089,0.067,0.047,0.091,0.543,0,0.197,0,5.849,0,0,0.011,0,2965.911,90.135,47.686,2643.089,0.178,0.124,0.24,3.709,0,0.285,0,15.36,0,0,0.03,0
0,2964.935,90.645,48.533,2630.987,0.067,0.047,0.091,0.546,0,0.221,0,5.861,0,0,0.011,0,2964.935,90.645,48.533,2630.987,0.171,0.12,0.23,3.42,0,0.253,0,14.754,0,0,0.028,0
0,2966.032,116.051,53.888,2646.794,0.077,0.054,0.103,0.699,0,0.199,0,6.638,0,0,0.013,0,2966.032,116.051,53.888,2646.794,0.166,0.115,0.223,3.204,0,0.235,0,14.289,0,0,0.027,0
0,2967.557,100.069,49.849,2651.313,0.071,0.05,0.096,0.604,0,0.225,0,6.165,0,0,0.012,0,2967.557,100.069,49.849,2651.313,0.161,0.111,0.217,3.036,0,0.241,0,13.905,0,0,0.027,0
0,2964.472,129.71,57.835,2632.841,0.081,0.057,0.109,0.783,0,0.211,0,7.016,0,0,0.013,0,2964.472,129.71,57.835,2632.841,0.161,0.112,0.216,3.021,0,0.226,0,13.881,0,0,0.027,0
0,2966.942,160.906,63.454,2648.995,0.091,0.063,0.122,0.972,0,0.242,0,7.822,0,0,0.015,0,2966.942,160.906,63.454,2648.995,0.214,0.151,0.286,5.298,0,0.297,0,18.357,0,0,0.035,0
0,2965.955,160.942,63.535,2643.851,0.091,0.064,0.122,0.969,0,0.238,0,7.812,0,0,0.015,0,2965.955,160.942,63.535,2643.851,0.177,0.124,0.239,3.674,0,0.268,0,15.301,0,0,0.029,0
0,2965.262,200.522,69.86,2643.528,0.102,0.073,0.135,1.206,0,0.274,0,8.702,0,0,0.017,0,2965.262,200.522,69.86,2643.528,0.167,0.116,0.225,3.25,0,0.219,0,14.4,0,0,0.028,0
0,2963.599,218.694,75.031,2629.582,0.106,0.075,0.142,1.318,0,0.256,0,9.096,0,0,0.017,0,2963.599,218.694,75.031,2629.582,0.166,0.115,0.224,3.23,0,0.224,0,14.363,0,0,0.028,0
0,2965.386,350.099,93.843,2643.483,0.134,0.095,0.18,2.112,0,0.308,0,11.531,0,0,0.022,0,2965.386,350.099,93.843,2643.483,0.177,0.122,0.239,3.692,0,0.223,0,15.353,0,0,0.03,0
0,2967.91,241.252,76.964,2652.815,0.111,0.078,0.149,1.457,0,0.271,0,9.574,0,0,0.018,0,2967.91,241.252,76.964,2652.815,0.263,0.185,0.353,8.073,0,0.353,0,22.628,0.001,0,0.044,0
0,2965.636,148.688,61.12,2643.332,0.087,0.06,0.117,0.896,0,0.225,0,7.513,0,0,0.014,0,2965.636,148.688,61.12,2643.332,0.267,0.187,0.358,8.306,0,0.408,0,22.957,0.001,0,0.045,0
0,2964.398,190.036,71.302,2623.324,0.098,0.068,0.132,1.148,0,0.287,0,8.484,0,0,0.016,0,2964.398,190.036,71.302,2623.324,0.195,0.135,0.263,4.444,0,0.284,0,16.835,0,0,0.032,0
0,2967.294,322.089,89.948,2649.612,0.129,0.09,0.172,1.943,0,0.322,0,11.059,0,0,0.021,0,2967.294,322.089,89.948,2649.612,0.173,0.121,0.232,3.474,0,0.185,0,14.906,0,0,0.029,0
0,2965.656,385.481,98.207,2644.372,0.14,0.099,0.188,2.318,0,0.312,0,12.083,0,0,0.023,0,2965.656,385.481,98.207,2644.372,0.174,0.122,0.235,3.543,0,0.167,0,15.053,0,0,0.029,0
0,2965.448,382.569,98.252,2641.499,0.139,0.096,0.188,2.305,0,0.325,0,12.046,0,0,0.023,0,2965.448,382.569,98.252,2641.499,0.172,0.119,0.231,3.44,0,0.144,0,14.833,0,0,0.028,0
0,2966.194,501.776,112.436,2644.662,0.161,0.113,0.215,3.024,0,0.37,0,13.798,0,0,0.027,0,2966.194,501.776,112.436,2644.662,0.169,0.117,0.228,3.357,0,0.156,0,14.655,0,0,0.028,0
0,2968.808,285.288,83.518,2655.879,0.121,0.085,0.162,1.727,0,0.313,0,10.411,0,0,0.02,0,2968.808,285.288,83.518,2655.879,0.172,0.12,0.232,3.459,0,0.197,0,14.864,0,0,0.029,0
0,2962.884,320.797,89.781,2633.119,0.129,0.093,0.171,1.93,0,0.274,0,10.973,0,0,0.021,0,2962.884,320.797,89.781,2633.119,0.198,0.137,0.266,4.579,0,0.247,0,17.067,0,0,0.033,0
0,2965.137,287.478,85.005,2639.808,0.121,0.084,0.163,1.734,0,0.286,0,10.448,0,0,0.02,0,2965.137,287.478,85.005,2639.808,0.23,0.161,0.309,6.138,0,0.313,0,19.778,0,0,0.038,0
0,2964.767,310.286,88.809,2638.06,0.126,0.089,0.169,1.868,0,0.316,0,10.842,0,0,0.021,0,2964.767,310.286,88.809,2638.06,0.203,0.142,0.274,4.819,0,0.256,0,17.541,0,0,0.034,0
0,2966.592,252.772,79.87,2647.197,0.114,0.08,0.153,1.526,0,0.293,0,9.803,0,0,0.019,0,2966.592,252.772,79.87,2647.197,0.183,0.127,0.247,3.919,0,0.234,0,15.819,0,0,0.03,0
0,2965.51,248.037,79.139,2640.488,0.112,0.078,0.151,1.493,0,0.268,0,9.695,0,0,0.019,0,2965.51,248.037,79.139,2640.488,0.177,0.123,0.238,3.633,0,0.212,0,15.235,0,0,0.029,0
0,2967.197,298.878,85.906,2650.184,0.123,0.086,0.166,1.806,0,0.319,0,10.659,0,0,0.02,0,2967.197,298.878,85.906,2650.184,0.182,0.127,0.244,3.847,0,0.213,0,15.676,0,0,0.03,0
