flag_labelx,FMN1,FMD1,MFMD1,MFMN1,MMAV11,MMAV21,MAV1,SSI1,WAMP1,WL1,ZC1,IEMG1,VAR1,SSC1,RMS1,FR1,FMN2,FMD2,MFMD2,MFMN2,MMAV12,MMAV22,MAV2,SSI2,WAMP2,WL2,ZC2,IEMG2,VAR2,SSC2,RMS2,FR2
0,2967.672,9598.016,484.802,2653.182,0.705,0.498,0.943,57.902,0,1.371,0,60.352,0.015,0,0.118,0,2967.672,9598.016,484.802,2653.182,0.42,0.287,0.571,21.06,0,0.538,0,36.566,0.002,0,0.071,0
0,2964.822,11163.265,533.503,2638.075,0.756,0.527,1.017,67.383,0,1.402,0,65.122,0.017,0,0.128,0,2964.822,11163.265,533.503,2638.075,0.384,0.264,0.519,17.607,0,0.798,0,33.266,0.004,0,0.065,0
0,2965.738,12572.18,561.286,2644.346,0.802,0.559,1.08,75.938,0,1.565,0,69.149,0.019,0,0.136,0,2965.738,12572.18,561.286,2644.346,0.367,0.253,0.495,16.095,0,0.825,0,31.717,0.005,0,0.062,0
0,2963.483,9291.435,496.081,2624.02,0.683,0.467,0.927,56.233,0,1.478,0,59.366,0.018,0,0.117,0,2963.483,9291.435,496.081,2624.02,0.296,0.2,0.405,10.964,0,0.894,0,25.933,0.007,0,0.051,0
0,2966.901,8158.026,454.992,2645.966,0.644,0.446,0.87,49.309,0,1.32,0,55.692,0.013,0,0.109,0,2966.901,8158.026,454.992,2645.966,0.31,0.206,0.426,11.952,0,0.876,0,27.282,0.005,0,0.054,0
0,2966.033,11035.853,524.111,2646.11,0.756,0.533,1.01,66.455,0,1.333,0,64.698,0.016,0,0.127,0,2966.033,11035.853,524.111,2646.11,1.257,0.881,1.685,183.408,0,1.363,0,107.866,0.025,0,0.211,0
0,2967.203,8547.32,460.969,2650.82,0.661,0.461,0.89,51.616,0,1.23,0,56.991,0.013,0,0.112,0,2967.203,8547.32,460.969,2650.82,1.597,1.109,2.153,298.761,0,2.461,0,137.829,0.03,0,0.27,0
0,2963.523,9932.357,503.691,2632.246,0.713,0.498,0.958,59.979,0,1.371,0,61.356,0.018,0,0.121,0,2963.523,9932.357,503.691,2632.246,1.958,1.376,2.623,443.57,0,2.623,0,167.888,0.049,0,0.329,0
0,2964.508,10685.559,521.513,2636.202,0.741,0.52,0.994,64.402,0,1.415,0,63.647,0.017,0,0.125,0,2964.508,10685.559,521.513,2636.202,1.965,1.387,2.626,444.582,0,2.392,0,168.079,0.049,0,0.329,0
0,2967.746,9342.014,479.997,2655.056,0.694,0.486,0.931,56.517,0,1.423,0,59.612,0.015,0,0.117,0,2967.746,9342.014,479.997,2655.056,0.819,0.563,1.109,81.975,0,1.383,0,71.018,0.049,0,0.141,0
0,2966.895,7365.809,426.301,2651.212,0.616,0.432,0.826,44.448,0,1.171,0,52.898,0.011,0,0.104,0,2966.895,7365.809,426.301,2651.212,0.366,0.251,0.496,15.876,0,0.569,0,31.75,0.001,0,0.062,0
0,2963.947,7557.498,437.483,2635.464,0.62,0.431,0.837,45.662,0,1.221,0,53.568,0.012,0,0.105,0,2963.947,7557.498,437.483,2635.464,0.473,0.327,0.639,26.341,0,0.68,0,40.929,0.002,0,0.08,0
0,2964.503,8125.33,455.018,2636.634,0.645,0.451,0.867,49.001,0,1.266,0,55.509,0.013,0,0.109,0,2964.503,8125.33,455.018,2636.634,0.512,0.356,0.691,30.68,0,0.581,0,44.227,0.001,0,0.086,0
0,2965.317,8214.881,451.926,2643.185,0.651,0.459,0.871,49.456,0,1.201,0,55.795,0.012,0,0.109,0,2965.317,8214.881,451.926,2643.185,0.664,0.443,0.912,57.368,0,1.439,0,58.401,0.063,0,0.118,0
0,2967.078,7891.844,442.761,2647.766,0.638,0.449,0.854,47.537,0,1.209,0,54.699,0.012,0,0.107,0,2967.078,7891.844,442.761,2647.766,1.351,0.937,1.823,214.234,0,2.243,0,116.673,0.024,0,0.228,0
0,2966.103,9515.031,485.919,2647.846,0.701,0.493,0.939,57.42,0,1.3,0,60.137,0.014,0,0.118,0,2966.103,9515.031,485.919,2647.846,1.517,1.053,2.044,270.808,0,2.238,0,130.86,0.05,0,0.257,0
0,2966.276,8077.672,446.347,2649.187,0.647,0.457,0.865,48.711,0,1.13,0,55.384,0.012,0,0.109,0,2966.276,8077.672,446.347,2649.187,2.069,1.448,2.778,498.198,0,2.998,0,177.824,0.064,0,0.348,0
0,2966.633,6419.954,400.363,2648.753,0.573,0.4,0.771,38.758,0,1.086,0,49.402,0.009,0,0.097,0,2966.633,6419.954,400.363,2648.753,2.055,1.447,2.75,488.579,0,2.648,0,176.031,0.068,0,0.345,0
0,2962.604,9030.575,480.745,2629.29,0.683,0.482,0.912,54.541,0,1.339,0,58.428,0.018,0,0.115,0,2962.604,9030.575,480.745,2629.29,0.879,0.604,1.191,94.363,0,1.496,0,76.253,0.054,0,0.151,0
0,2966.59,8266.838,462.005,2643.795,0.649,0.449,0.875,49.924,0,1.4,0,56.05,0.013,0,0.11,0,2966.59,8266.838,462.005,2643.795,0.528,0.365,0.714,32.949,0,0.751,0,45.714,0.004,0,0.089,0
0,2967.722,7984.298,447.394,2652.895,0.639,0.445,0.861,48.334,0,1.321,0,55.121,0.013,0,0.108,0,2967.722,7984.298,447.394,2652.895,0.554,0.387,0.744,35.839,0,0.418,0,47.678,0.005,0,0.093,0
